# time Uy_probe0 Uy_probe1
72.836 0.0767465 0.171331
72.837 0.0768547 0.171412
72.838 0.0769629 0.171493
72.839 0.0770709 0.171574
72.84 0.0771789 0.171655
72.841 0.0772867 0.171736
72.842 0.0773945 0.171817
72.843 0.0775021 0.171898
72.844 0.0776096 0.171979
72.845 0.0777171 0.17206
72.846 0.0778244 0.172141
72.847 0.0779317 0.172222
72.848 0.0780389 0.172302
72.849 0.0781462 0.172383
72.85 0.0782531 0.172464
72.851 0.0783599 0.172544
72.852 0.0784665 0.172625
72.853 0.0785731 0.172705
72.854 0.0786795 0.172786
72.855 0.0787859 0.172866
72.856 0.0788921 0.172947
72.857 0.0789982 0.173027
72.858 0.0791042 0.173107
72.859 0.0792101 0.173188
72.86 0.0793159 0.173268
72.861 0.0794216 0.173348
72.862 0.0795272 0.173428
72.863 0.0796326 0.173508
72.864 0.079738 0.173588
72.865 0.0798432 0.173669
72.866 0.0799484 0.173749
72.867 0.0800534 0.173829
72.868 0.0801584 0.173908
72.869 0.0802632 0.173988
72.87 0.0803679 0.174068
72.871 0.0804725 0.174148
72.872 0.080577 0.174228
72.873 0.0806814 0.174307
72.874 0.0807857 0.174387
72.875 0.0808898 0.174467
72.876 0.0809939 0.174546
72.877 0.081098 0.174626
72.878 0.0812019 0.174705
72.879 0.0813056 0.174785
72.88 0.0814092 0.174864
72.881 0.0815127 0.174944
72.882 0.0816164 0.175023
72.883 0.0817197 0.175103
72.884 0.0818228 0.175182
72.885 0.0819257 0.175261
72.886 0.0820286 0.17534
72.887 0.0821314 0.17542
72.888 0.082234 0.175499
72.889 0.0823366 0.175578
72.89 0.082439 0.175657
72.891 0.0825413 0.175736
72.892 0.0826434 0.175815
72.893 0.0827455 0.175894
72.894 0.0828475 0.175972
72.895 0.0829493 0.176051
72.896 0.0830511 0.17613
72.897 0.0831527 0.176209
72.898 0.0832542 0.176288
72.899 0.0833556 0.176366
72.9 0.0834568 0.176445
72.901 0.083558 0.176524
72.902 0.083659 0.176602
72.903 0.08376 0.176681
72.904 0.0838608 0.176759
72.905 0.0839615 0.176837
72.906 0.0840622 0.176916
72.907 0.0841627 0.176994
72.908 0.0842631 0.177072
72.909 0.0843635 0.17715
72.91 0.0844637 0.177229
72.911 0.0845637 0.177307
72.912 0.0846636 0.177385
72.913 0.0847634 0.177463
72.914 0.084863 0.177541
72.915 0.0849626 0.177619
72.916 0.085062 0.177696
72.917 0.0851613 0.177774
72.918 0.0852606 0.177852
72.919 0.0853596 0.17793
72.92 0.0854585 0.178008
72.921 0.0855574 0.178085
72.922 0.0856561 0.178163
72.923 0.0857546 0.178241
72.924 0.0858531 0.178318
72.925 0.0859514 0.178396
72.926 0.0860497 0.178473
72.927 0.0861477 0.178551
72.928 0.0862458 0.178628
72.929 0.0863437 0.178706
72.93 0.0864415 0.178783
72.931 0.0865392 0.17886
72.932 0.0866368 0.178937
72.933 0.0867344 0.179015
72.934 0.0868319 0.179092
72.935 0.0869291 0.179169
72.936 0.0870261 0.179246
72.937 0.087123 0.179323
72.938 0.0872198 0.1794
72.939 0.0873165 0.179477
72.94 0.087413 0.179554
72.941 0.0875094 0.17963
72.942 0.0876057 0.179707
72.943 0.0877019 0.179784
72.944 0.0877979 0.179861
72.945 0.0878939 0.179937
72.946 0.0879897 0.180014
72.947 0.0880853 0.180091
72.948 0.0881809 0.180167
72.949 0.0882763 0.180244
72.95 0.0883717 0.18032
72.951 0.0884668 0.180397
72.952 0.0885619 0.180473
72.953 0.0886568 0.180549
72.954 0.0887517 0.180625
72.955 0.0888464 0.180702
72.956 0.088941 0.180778
72.957 0.0890354 0.180854
72.958 0.0891298 0.18093
72.959 0.0892239 0.181006
72.96 0.089318 0.181082
72.961 0.089412 0.181158
72.962 0.0895058 0.181234
72.963 0.0895995 0.18131
72.964 0.089693 0.181385
72.965 0.0897865 0.181461
72.966 0.0898798 0.181537
72.967 0.0899729 0.181613
72.968 0.090066 0.181688
72.969 0.0901589 0.181764
72.97 0.0902517 0.181839
72.971 0.0903444 0.181915
72.972 0.0904369 0.18199
72.973 0.0905294 0.182066
72.974 0.0906217 0.182141
72.975 0.0907138 0.182216
72.976 0.0908059 0.182291
72.977 0.0908978 0.182367
72.978 0.0909896 0.182442
72.979 0.0910812 0.182517
72.98 0.0911727 0.182592
72.981 0.0912641 0.182667
72.982 0.0913554 0.182742
72.983 0.0914465 0.182817
72.984 0.0915375 0.182892
72.985 0.0916284 0.182966
72.986 0.0917192 0.183041
72.987 0.0918099 0.183116
72.988 0.0919004 0.183191
72.989 0.0919909 0.183265
72.99 0.0920814 0.18334
72.991 0.0921715 0.183414
72.992 0.0922614 0.183489
72.993 0.0923512 0.183563
72.994 0.0924409 0.183637
72.995 0.0925304 0.183712
72.996 0.0926198 0.183786
72.997 0.0927091 0.18386
72.998 0.0927982 0.183935
72.999 0.0928872 0.184009
73 0.0929761 0.184083
73.001 0.0930648 0.184157
73.002 0.0931535 0.184231
73.003 0.093242 0.184305
73.004 0.0933302 0.184379
73.005 0.0934183 0.184453
73.006 0.0935063 0.184526
73.007 0.0935942 0.1846
73.008 0.0936819 0.184674
73.009 0.0937694 0.184747
73.01 0.0938569 0.184821
73.011 0.0939443 0.184895
73.012 0.0940315 0.184968
73.013 0.0941186 0.185042
73.014 0.0942056 0.185115
73.015 0.0942924 0.185188
73.016 0.0943791 0.185262
73.017 0.0944657 0.185335
73.018 0.0945522 0.185408
73.019 0.0946385 0.185481
73.02 0.0947246 0.185555
73.021 0.0948107 0.185628
73.022 0.0948966 0.185701
73.023 0.0949823 0.185774
73.024 0.095068 0.185847
73.025 0.0951535 0.185919
73.026 0.0952388 0.185992
73.027 0.0953241 0.186065
73.028 0.0954091 0.186138
73.029 0.0954941 0.18621
73.03 0.0955789 0.186283
73.031 0.0956636 0.186356
73.032 0.0957481 0.186428
73.033 0.0958325 0.186501
73.034 0.0959168 0.186573
73.035 0.0960009 0.186645
73.036 0.0960849 0.186718
73.037 0.0961688 0.18679
73.038 0.0962525 0.186862
73.039 0.0963361 0.186934
73.04 0.0964196 0.187007
73.041 0.0965029 0.187079
73.042 0.0965861 0.187151
73.043 0.0966692 0.187223
73.044 0.0967524 0.187295
73.045 0.0968352 0.187366
73.046 0.0969177 0.187438
73.047 0.0970001 0.18751
73.048 0.0970823 0.187582
73.049 0.0971644 0.187654
73.05 0.0972464 0.187725
73.051 0.0973282 0.187797
73.052 0.0974098 0.187868
73.053 0.0974913 0.18794
73.054 0.0975727 0.188011
73.055 0.0976539 0.188083
73.056 0.097735 0.188154
73.057 0.0978159 0.188225
73.058 0.0978967 0.188297
73.059 0.0979773 0.188368
73.06 0.0980578 0.188439
73.061 0.0981381 0.18851
73.062 0.0982182 0.188581
73.063 0.0982982 0.188652
73.064 0.098378 0.188723
73.065 0.0984576 0.188794
73.066 0.0985371 0.188865
73.067 0.0986162 0.188936
73.068 0.0986956 0.189007
73.069 0.098775 0.189078
73.07 0.0988545 0.189148
73.071 0.0989338 0.189218
73.072 0.0990129 0.189289
73.073 0.0990918 0.189359
73.074 0.0991705 0.189429
73.075 0.0992491 0.189499
73.076 0.0993276 0.18957
73.077 0.0994059 0.18964
73.078 0.099484 0.18971
73.079 0.0995621 0.18978
73.08 0.0996399 0.18985
73.081 0.0997176 0.18992
73.082 0.0997952 0.189989
73.083 0.0998725 0.190059
73.084 0.0999498 0.190129
73.085 0.100027 0.190199
73.086 0.100104 0.190268
73.087 0.10018 0.190338
73.088 0.100257 0.190407
73.089 0.100333 0.190477
73.09 0.100409 0.190546
73.091 0.100486 0.190615
73.092 0.100563 0.190684
73.093 0.100639 0.190754
73.094 0.100715 0.190823
73.095 0.100792 0.190892
73.096 0.100868 0.190961
73.097 0.100944 0.19103
73.098 0.10102 0.191099
73.099 0.101095 0.191168
73.1 0.10117 0.191236
73.101 0.101246 0.191305
73.102 0.101321 0.191374
73.103 0.101395 0.191442
73.104 0.10147 0.191511
73.105 0.101545 0.191579
73.106 0.101619 0.191648
73.107 0.101694 0.191716
73.108 0.101768 0.191785
73.109 0.101842 0.191853
73.11 0.101916 0.191921
73.111 0.101989 0.191989
73.112 0.102063 0.192057
73.113 0.102136 0.192125
73.114 0.10221 0.192193
73.115 0.102283 0.192261
73.116 0.102356 0.192329
73.117 0.102429 0.192397
73.118 0.102501 0.192465
73.119 0.102574 0.192532
73.12 0.102646 0.1926
73.121 0.102719 0.192668
73.122 0.102791 0.192735
73.123 0.102863 0.192802
73.124 0.102935 0.19287
73.125 0.103006 0.192937
73.126 0.103078 0.193004
73.127 0.103149 0.193072
73.128 0.103221 0.193139
73.129 0.103292 0.193206
73.13 0.103363 0.193273
73.131 0.103434 0.19334
73.132 0.103504 0.193407
73.133 0.103575 0.193474
73.134 0.103645 0.19354
73.135 0.103715 0.193607
73.136 0.103785 0.193674
73.137 0.103855 0.19374
73.138 0.103925 0.193807
73.139 0.103995 0.193873
73.14 0.104064 0.19394
73.141 0.104134 0.194006
73.142 0.104203 0.194072
73.143 0.104272 0.194139
73.144 0.104341 0.194205
73.145 0.10441 0.194271
73.146 0.104478 0.194337
73.147 0.104547 0.194403
73.148 0.104615 0.194469
73.149 0.104684 0.194535
73.15 0.104752 0.1946
73.151 0.104819 0.194666
73.152 0.104887 0.194732
73.153 0.104954 0.194797
73.154 0.105022 0.194863
73.155 0.105089 0.194928
73.156 0.105156 0.194994
73.157 0.105223 0.195059
73.158 0.10529 0.195125
73.159 0.105356 0.19519
73.16 0.105423 0.195255
73.161 0.105489 0.19532
73.162 0.105555 0.195385
73.163 0.105621 0.19545
73.164 0.105687 0.195515
73.165 0.105752 0.19558
73.166 0.105818 0.195645
73.167 0.105883 0.195709
73.168 0.105948 0.195774
73.169 0.106014 0.195839
73.17 0.106078 0.195903
73.171 0.106143 0.195968
73.172 0.106208 0.196032
73.173 0.106272 0.196097
73.174 0.106336 0.196161
73.175 0.1064 0.196225
73.176 0.106464 0.196289
73.177 0.106528 0.196353
73.178 0.106592 0.196417
73.179 0.106655 0.196481
73.18 0.106719 0.196545
73.181 0.106782 0.196609
73.182 0.106845 0.196673
73.183 0.106908 0.196737
73.184 0.10697 0.1968
73.185 0.107033 0.196864
73.186 0.107095 0.196927
73.187 0.107157 0.196991
73.188 0.107219 0.197054
73.189 0.107281 0.197117
73.19 0.107343 0.197181
73.191 0.107404 0.197244
73.192 0.107466 0.197307
73.193 0.107527 0.19737
73.194 0.107588 0.197433
73.195 0.107649 0.197496
73.196 0.10771 0.197559
73.197 0.107771 0.197622
73.198 0.107831 0.197684
73.199 0.107891 0.197747
73.2 0.107952 0.19781
73.201 0.108012 0.197872
73.202 0.108071 0.197935
73.203 0.108131 0.197997
73.204 0.10819 0.198059
73.205 0.10825 0.198122
73.206 0.108309 0.198184
73.207 0.108368 0.198246
73.208 0.108427 0.198308
73.209 0.108485 0.19837
73.21 0.108544 0.198432
73.211 0.108602 0.198494
73.212 0.10866 0.198556
73.213 0.108718 0.198618
73.214 0.108776 0.198679
73.215 0.108834 0.198741
73.216 0.108892 0.198802
73.217 0.108949 0.198864
73.218 0.109006 0.198925
73.219 0.109063 0.198987
73.22 0.10912 0.199048
73.221 0.109177 0.199109
73.222 0.109233 0.19917
73.223 0.10929 0.199231
73.224 0.109346 0.199292
73.225 0.109402 0.199353
73.226 0.109458 0.199414
73.227 0.109514 0.199475
73.228 0.10957 0.199536
73.229 0.109625 0.199596
73.23 0.10968 0.199657
73.231 0.109735 0.199717
73.232 0.10979 0.199778
73.233 0.109845 0.199838
73.234 0.1099 0.199899
73.235 0.109954 0.199959
73.236 0.110008 0.200019
73.237 0.110063 0.200079
73.238 0.110117 0.200139
73.239 0.11017 0.200199
73.24 0.110224 0.200259
73.241 0.110277 0.200319
73.242 0.110331 0.200379
73.243 0.110384 0.200439
73.244 0.110437 0.200499
73.245 0.11049 0.200558
73.246 0.110543 0.200618
73.247 0.110595 0.200677
73.248 0.110648 0.200736
73.249 0.1107 0.200796
73.25 0.110752 0.200855
73.251 0.110804 0.200914
73.252 0.110855 0.200973
73.253 0.110907 0.201032
73.254 0.110958 0.201091
73.255 0.111009 0.20115
73.256 0.11106 0.201208
73.257 0.111111 0.201267
73.258 0.111162 0.201326
73.259 0.111212 0.201384
73.26 0.111263 0.201443
73.261 0.111313 0.201501
73.262 0.111363 0.20156
73.263 0.111413 0.201618
73.264 0.111462 0.201676
73.265 0.111512 0.201734
73.266 0.111561 0.201792
73.267 0.11161 0.20185
73.268 0.111659 0.201908
73.269 0.111708 0.201966
73.27 0.111757 0.202024
73.271 0.111805 0.202081
73.272 0.111854 0.202139
73.273 0.111902 0.202196
73.274 0.11195 0.202254
73.275 0.111998 0.202311
73.276 0.112045 0.202368
73.277 0.112093 0.202426
73.278 0.11214 0.202483
73.279 0.112187 0.20254
73.28 0.112234 0.202597
73.281 0.112281 0.202654
73.282 0.112327 0.202711
73.283 0.112374 0.202768
73.284 0.11242 0.202824
73.285 0.112466 0.202881
73.286 0.112512 0.202937
73.287 0.112558 0.202994
73.288 0.112603 0.20305
73.289 0.112649 0.203107
73.29 0.112694 0.203163
73.291 0.112739 0.203219
73.292 0.112784 0.203275
73.293 0.112829 0.203331
73.294 0.112873 0.203387
73.295 0.112918 0.203443
73.296 0.112962 0.203499
73.297 0.113006 0.203555
73.298 0.11305 0.20361
73.299 0.113093 0.203666
73.3 0.113137 0.203721
73.301 0.11318 0.203777
73.302 0.113223 0.203832
73.303 0.113266 0.203887
73.304 0.113309 0.203943
73.305 0.113352 0.203998
73.306 0.113394 0.204053
73.307 0.113437 0.204108
73.308 0.113479 0.204163
73.309 0.113521 0.204217
73.31 0.113563 0.204272
73.311 0.113604 0.204327
73.312 0.113646 0.204381
73.313 0.113687 0.204436
73.314 0.113728 0.20449
73.315 0.113769 0.204545
73.316 0.11381 0.204599
73.317 0.11385 0.204653
73.318 0.113891 0.204707
73.319 0.113931 0.204761
73.32 0.113971 0.204815
73.321 0.114011 0.204869
73.322 0.11405 0.204923
73.323 0.11409 0.204977
73.324 0.114129 0.20503
73.325 0.114168 0.205084
73.326 0.114207 0.205137
73.327 0.114246 0.205191
73.328 0.114285 0.205244
73.329 0.114323 0.205297
73.33 0.114362 0.20535
73.331 0.1144 0.205403
73.332 0.114438 0.205456
73.333 0.114475 0.205509
73.334 0.114513 0.205562
73.335 0.11455 0.205615
73.336 0.114588 0.205668
73.337 0.114625 0.20572
73.338 0.114662 0.205773
73.339 0.114698 0.205825
73.34 0.114735 0.205878
73.341 0.114771 0.20593
73.342 0.114807 0.205982
73.343 0.114843 0.206034
73.344 0.114879 0.206086
73.345 0.114915 0.206138
73.346 0.11495 0.20619
73.347 0.114986 0.206242
73.348 0.115021 0.206294
73.349 0.115056 0.206345
73.35 0.11509 0.206397
73.351 0.115125 0.206448
73.352 0.115159 0.2065
73.353 0.115193 0.206551
73.354 0.115228 0.206602
73.355 0.115261 0.206653
73.356 0.115295 0.206704
73.357 0.115329 0.206755
73.358 0.115362 0.206806
73.359 0.115395 0.206857
73.36 0.115428 0.206908
73.361 0.115461 0.206959
73.362 0.115493 0.207009
73.363 0.115526 0.20706
73.364 0.115558 0.20711
73.365 0.11559 0.20716
73.366 0.115622 0.207211
73.367 0.115654 0.207261
73.368 0.115685 0.207311
73.369 0.115716 0.207361
73.37 0.115748 0.207411
73.371 0.115779 0.207461
73.372 0.115809 0.207511
73.373 0.11584 0.20756
73.374 0.11587 0.20761
73.375 0.1159 0.20766
73.376 0.11593 0.207709
73.377 0.11596 0.207759
73.378 0.11599 0.207808
73.379 0.11602 0.207857
73.38 0.116049 0.207906
73.381 0.116078 0.207954
73.382 0.116107 0.208003
73.383 0.116136 0.208052
73.384 0.116165 0.208101
73.385 0.116194 0.208149
73.386 0.116222 0.208198
73.387 0.11625 0.208246
73.388 0.116278 0.208294
73.389 0.116306 0.208342
73.39 0.116333 0.208391
73.391 0.116361 0.208439
73.392 0.116388 0.208486
73.393 0.116415 0.208534
73.394 0.116442 0.208582
73.395 0.116469 0.20863
73.396 0.116495 0.208677
73.397 0.116522 0.208725
73.398 0.116548 0.208772
73.399 0.116574 0.208819
73.4 0.1166 0.208867
73.401 0.116625 0.208914
73.402 0.116651 0.208961
73.403 0.116676 0.209008
73.404 0.116701 0.209055
73.405 0.116726 0.209101
73.406 0.116751 0.209148
73.407 0.116775 0.209195
73.408 0.116799 0.209241
73.409 0.116824 0.209288
73.41 0.116848 0.209334
73.411 0.116871 0.20938
73.412 0.116895 0.209426
73.413 0.116918 0.209472
73.414 0.116941 0.209518
73.415 0.116965 0.209564
73.416 0.116987 0.20961
73.417 0.11701 0.209656
73.418 0.117032 0.209701
73.419 0.117055 0.209747
73.42 0.117077 0.209792
73.421 0.117098 0.209837
73.422 0.11712 0.209883
73.423 0.117142 0.209928
73.424 0.117164 0.209973
73.425 0.117185 0.210018
73.426 0.117207 0.210063
73.427 0.117228 0.210107
73.428 0.117249 0.210152
73.429 0.117269 0.210197
73.43 0.11729 0.210241
73.431 0.11731 0.210285
73.432 0.11733 0.21033
73.433 0.11735 0.210374
73.434 0.11737 0.210418
73.435 0.11739 0.210462
73.436 0.117409 0.210506
73.437 0.117429 0.21055
73.438 0.117448 0.210593
73.439 0.117466 0.210637
73.44 0.117485 0.210681
73.441 0.117504 0.210724
73.442 0.117522 0.210767
73.443 0.11754 0.210811
73.444 0.117558 0.210854
73.445 0.117576 0.210897
73.446 0.117594 0.21094
73.447 0.117611 0.210983
73.448 0.117628 0.211025
73.449 0.117645 0.211068
73.45 0.117662 0.211111
73.451 0.117679 0.211153
73.452 0.117695 0.211196
73.453 0.117712 0.211238
73.454 0.117728 0.21128
73.455 0.117744 0.211322
73.456 0.11776 0.211364
73.457 0.117775 0.211406
73.458 0.117791 0.211448
73.459 0.117806 0.21149
73.46 0.117821 0.211531
73.461 0.117836 0.211573
73.462 0.11785 0.211614
73.463 0.117865 0.211656
73.464 0.117879 0.211697
73.465 0.117893 0.211738
73.466 0.117907 0.211779
73.467 0.117921 0.21182
73.468 0.117934 0.211861
73.469 0.117948 0.211902
73.47 0.117961 0.211942
73.471 0.117974 0.211983
73.472 0.117987 0.212023
73.473 0.117999 0.212064
73.474 0.118012 0.212104
73.475 0.118024 0.212144
73.476 0.118036 0.212184
73.477 0.118048 0.212224
73.478 0.11806 0.212264
73.479 0.118071 0.212304
73.48 0.118083 0.212344
73.481 0.118094 0.212383
73.482 0.118105 0.212423
73.483 0.118115 0.212462
73.484 0.118126 0.212501
73.485 0.118136 0.212541
73.486 0.118147 0.21258
73.487 0.118157 0.212619
73.488 0.118166 0.212658
73.489 0.118176 0.212696
73.49 0.118186 0.212735
73.491 0.118195 0.212774
73.492 0.118204 0.212812
73.493 0.118213 0.21285
73.494 0.118221 0.212889
73.495 0.11823 0.212927
73.496 0.118238 0.212965
73.497 0.118247 0.213003
73.498 0.118254 0.213041
73.499 0.118262 0.213079
73.5 0.11827 0.213116
73.501 0.118277 0.213154
73.502 0.118284 0.213191
73.503 0.118291 0.213229
73.504 0.118298 0.213266
73.505 0.118305 0.213303
73.506 0.118311 0.21334
73.507 0.118318 0.213377
73.508 0.118324 0.213414
73.509 0.11833 0.213451
73.51 0.118335 0.213487
73.511 0.118341 0.213524
73.512 0.118346 0.21356
73.513 0.118351 0.213596
73.514 0.118356 0.213633
73.515 0.118361 0.213669
73.516 0.118366 0.213705
73.517 0.11837 0.213741
73.518 0.118374 0.213777
73.519 0.118378 0.213812
73.52 0.118382 0.213848
73.521 0.118386 0.213883
73.522 0.118389 0.213919
73.523 0.118393 0.213954
73.524 0.118396 0.213989
73.525 0.118399 0.214024
73.526 0.118401 0.214059
73.527 0.118404 0.214094
73.528 0.118406 0.214129
73.529 0.118408 0.214164
73.53 0.11841 0.214198
73.531 0.118412 0.214233
73.532 0.118414 0.214267
73.533 0.118415 0.214302
